,监测点编码,监测点名称,城市,经度,纬度
211,2325A,三明二中,三明,117.6353,26.2708
212,3399A,师范学院,衡阳,112.6703,26.882
213,2651A,文化馆,天水,105.8614,34.5653
214,1471A,临潼区,西安,109.2186,34.3731
215,1723A,云冈宾馆,大同,113.2994,40.0758
216,2523A,黑石坡,广元,105.8945,32.4535
217,1017A,大直沽八号路,天津,117.237,39.1082
218,3597A,建安区兴业大厦,许昌,113.8134,34.1251
219,1091A,小召,呼和浩特,111.658,40.8033
220,1343A,湖南中医药大学,长沙,112.8908,28.1308
221,2669A,监测站,甘南州,102.905,35.0003
222,1921A,中医学院,咸阳,108.7369,34.3164
223,3469A,枣园社区,阜阳,115.836,32.9183
224,1215A,盐城电厂,盐城,120.118,33.4022
225,3204A,规划局,平顶山,113.3025,33.7297
226,2289A,车站新区,铜陵,117.8561,30.9219
227,3530A,西洋坪路,漳州,117.6296,24.5314
228,2867A,马茂庄小学,吕梁,111.1283333,37.51
229,1687A,茂石化七小,茂名,110.9294,21.6533
230,1939A,日报社,渭南,109.5049,34.5004
231,3402A,市二中,柳州,109.5422,24.3996
232,2222A,八里堡,朝阳,120.4247,41.5647
233,1559A,大京风景区,株洲,113.251,27.8336
234,1885A,市政府,宜宾,104.6417,28.76389
235,3022A,凯旋路小学,洛阳,112.4433,34.6686
236,1179A,铜山兽医院,徐州,117.192,34.3083
237,2420A,市一纸厂　,驻马店,114.018,32.965
238,3494A,济阳区政府(新增191219),济南,,
239,1240A,太古小学,宁波,121.586,29.8633
240,3366A,中国农业大学,烟台,121.5206,37.4336
241,3618A,金胜,太原,112.4701,37.782
242,1112A,青泥洼桥,大连,121.63305556,38.911944444
243,2186A,聚英学校,乌海,106.8219,39.6719
244,2438A,凡口开发区,鄂州,114.8131,30.4133
245,3238A,济民医院(对照点),芜湖,118.3954,31.3946
246,1310A,市南区东部子站,青岛,120.4134,36.0654
247,2384A,开发区管委会,上饶,117.9033,28.4303
248,2636A,鑫源开发区,汉中,107.0089,33.1138
249,1456A,八廓街,拉萨,91.1319,29.6514
250,1708A,新兴,揭阳,116.3697,23.5353
251,1782A,富区环保局,齐齐哈尔,123.6261,47.203
252,2508A,荷城子站,贵港,109.5683,23.1036
253,1076A,市环保局,衡水,115.6906,37.739
